date,open,high,low,close,volume
2019-07-05,131.46,132.32,130.81,132.14,11536600
2019-07-08,132.18,132.34,131.28,131.29,8028900
2019-07-09,131.43,132.10,131.16,131.75,6633400
2019-07-10,132.94,133.87,132.35,133.83,13920600
2019-07-11,133.58,133.70,132.41,132.70,7535100
2019-07-12,132.89,133.69,132.53,133.53,6309500
2019-07-15,133.18,133.53,132.81,133.53,4026600
2019-07-16,133.18,133.30,132.13,132.40,7966000
2019-07-17,133.00,134.60,132.89,134.58,11288300
2019-07-18,133.83,136.63,133.61,136.48,18448200
2019-07-19,135.45,136.03,133.97,134.47,18079200
2019-07-22,134.56,134.82,134.32,134.45,7570400
2019-07-23,134.43,134.95,133.56,133.69,9981400
2019-07-24,134.59,134.84,133.98,134.37,6715200
2019-07-25,134.24,134.28,133.09,133.42,11708200
2019-07-26,134.24,134.29,133.59,133.64,6249900
2019-07-29,134.06,134.73,133.44,134.53,9162400
2019-07-30,134.76,135.18,134.41,134.98,9458700
2019-07-31,135.03,135.42,133.02,133.21,18797200
2019-08-01,132.42,136.43,132.31,136.41,27719800
2019-08-02,135.39,136.60,135.37,135.89,13753200
2019-08-05,137.93,138.64,137.05,137.79,17519800
2019-08-06,138.33,139.03,138.01,138.91,9471200
2019-08-07,141.28,142.47,140.88,141.02,26671100
2019-08-08,140.90,142.37,140.71,141.73,13108600
2019-08-09,141.28,142.03,140.96,141.26,9485900
2019-08-12,141.67,143.38,141.64,142.63,15264000
2019-08-13,143.17,143.29,139.35,141.78,29842800
2019-08-14,142.90,143.75,142.05,142.75,20672900
2019-08-15,142.96,144.02,142.61,143.70,13467800
2019-08-16,142.75,143.13,141.80,142.78,11728800
2019-08-19,141.33,141.79,140.85,141.11,10552700
2019-08-20,141.77,142.26,141.60,142.21,7478500
2019-08-21,141.62,142.17,141.46,141.76,8114700
2019-08-22,141.39,141.90,141.17,141.40,6846500
2019-08-23,141.84,144.33,141.64,144.17,20282200
2019-08-26,144.35,144.97,143.91,144.19,12195800
2019-08-27,144.30,145.68,144.27,145.57,12844100
2019-08-28,145.39,145.68,144.64,145.16,11452400
