date,open,high,low,close,volume
2000-01-03,148.25,148.25,143.88,145.44,8160000
2000-01-04,143.53,144.06,139.64,139.75,8090000
2000-01-05,139.94,141.53,137.25,140.0,12180000
2000-01-06,139.62,141.5,137.75,137.75,6230000
2000-01-07,140.31,145.75,140.06,145.75,8070000
2000-01-10,146.25,146.91,145.03,146.25,5740000
2000-01-11,145.81,146.09,143.5,144.5,7500000
2000-01-12,144.59,144.59,142.88,143.06,6910000
2000-01-13,144.47,145.75,143.28,145.0,5160000
2000-01-14,146.53,147.47,145.97,146.97,7440000
2000-01-18,145.34,146.62,145.19,145.81,6490000
2000-01-19,145.31,147.0,145.0,147.0,6160000
2000-01-20,146.97,146.97,143.81,144.75,5800000
2000-01-21,145.5,145.5,144.06,144.44,6240000
2000-01-24,145.66,145.84,139.41,140.34,7900000
2000-01-25,140.52,141.94,139.0,141.94,9940000
2000-01-26,141.0,141.55,140.09,140.81,5160000
2000-01-27,141.84,142.22,138.12,140.25,10920000
2000-01-28,139.44,140.06,135.53,135.88,11920000
2000-01-31,135.81,139.67,135.0,139.56,10770000
2000-02-01,139.75,141.69,138.53,140.94,8420000
2000-02-02,141.28,142.25,140.38,141.06,6210000
2000-02-03,140.88,143.25,140.0,143.19,8000000
2000-02-04,143.19,144.0,142.12,142.59,4930000
2000-02-07,142.56,142.78,141.44,142.38,5850000
2000-02-08,143.97,144.56,143.62,144.31,4940000
2000-02-09,144.47,144.47,141.27,141.28,8510000
2000-02-10,141.62,142.56,140.88,141.56,6690000
2000-02-11,141.84,141.94,138.03,138.69,9850000
2000-02-14,139.78,139.78,138.31,139.5,8530000
2000-02-15,139.25,141.22,137.8,141.09,11080000
2000-02-16,140.38,140.94,138.8,139.0,8850000
2000-02-17,140.44,140.44,138.22,138.28,7580000
2000-02-18,138.88,138.88,134.62,135.31,9410000
2000-02-22,135.19,136.34,133.53,134.97,16420000
2000-02-23,135.62,137.47,134.5,136.56,12120000
2000-02-24,136.69,137.03,133.09,133.81,17380000
2000-02-25,135.19,136.72,133.12,133.33,10560000
2000-02-28,133.38,136.69,132.72,136.12,13400000
2000-02-29,136.06,137.44,135.75,137.44,8240000
2000-03-01,137.62,139.0,137.22,138.44,6870000
2000-03-02,138.69,139.12,137.34,138.53,7600000
2000-03-03,140.44,141.72,139.72,141.12,12770000
2000-03-06,140.81,141.34,138.75,139.75,11970000
2000-03-07,140.0,140.16,135.22,137.05,20060000
2000-03-08,136.47,137.84,135.03,136.88,11810000
2000-03-09,137.25,140.88,136.12,140.88,5500000
2000-03-10,140.19,142.0,139.53,140.12,7920000
2000-03-13,136.69,140.47,136.5,138.59,10540000
2000-03-14,139.28,140.09,136.16,136.62,8260000
2000-03-15,136.88,140.44,136.06,139.81,10300000
2000-03-16,141.62,146.84,140.88,146.34,25600000
2000-03-17,145.81,148.0,145.44,146.94,10270000
2000-03-20,146.88,147.34,144.78,146.19,12500000
2000-03-21,145.53,149.75,144.5,149.19,13610000
2000-03-22,149.56,150.84,148.69,150.09,8260000
2000-03-23,149.16,153.47,149.16,152.66,11650000
2000-03-24,152.88,155.75,151.72,153.56,11460000
2000-03-27,153.38,153.78,151.81,151.94,8800000
2000-03-28,151.25,152.98,150.59,151.06,6330000
2000-03-29,151.56,152.48,149.66,151.22,6750000
2000-03-30,150.16,151.92,147.12,148.69,9490000
